locationId:ID(Location),name,region,state,postalCode,country,geoLatitude:double,geoLongitude:double,population:int,climateZone,economicProfile,localChallenges:string[],flavorNotes,:LABEL
loc-mount-horeb-wi,Mount Horeb,Dane County,WI,53572,USA,43.0086,-89.7373,7500,humid_continental,"Tourism (Trollway), small business, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;tourist_traffic,"Known as 'Troll Capital of the World' with tourist-focused downtown. Mix of tourist, residential, and agricultural traffic. Highway 18/151 corridor location.",Location
loc-belleville-wi,Belleville,Dane County & Green County,WI,53508,USA,42.8614,-89.5373,2700,humid_continental,"Small town, agriculture, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;rural_community,Small community between Madison and Monroe. Limited commercial paving. Primarily residential and municipal maintenance work.,Location
loc-new-glarus-wi,New Glarus,Green County,WI,53574,USA,42.8144,-89.6351,2200,humid_continental,"Tourism (Swiss heritage), New Glarus Brewing, small business",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;tourist_traffic;brewery_traffic,Swiss-themed tourist town with New Glarus Brewing Company. Tourist traffic creates seasonal demand patterns. Charming downtown requires careful aesthetic considerations.,Location
loc-marshall-wi,Marshall,Dane County,WI,53559,USA,43.1686,-89.0651,3900,humid_continental,"Small town, agriculture, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;rural_location,Small agricultural community northeast of Madison. Rural character with limited commercial development. Primarily residential and farm access paving.,Location
loc-deerfield-wi,Deerfield,Dane County,WI,53531,USA,43.0525,-89.076,2500,humid_continental,"Small town, agriculture, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;rural_community,Small rural community with agricultural base. Limited commercial activity. Village and residential maintenance primary market.,Location
loc-janesville-wi,Janesville,Rock County,WI,53545,USA,42.6828,-89.0187,65000,humid_continental,"Manufacturing (former GM plant), healthcare, retail, Rock County seat",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;industrial_redevelopment;commercial_traffic,Rock County's largest city with post-GM plant redevelopment creating opportunities. Strong manufacturing heritage. Healthcare and retail sectors growing. I-90 corridor location.,Location
loc-beloit-wi,Beloit,Rock County,WI,53511,USA,42.5084,-89.0318,37000,humid_continental,"Manufacturing, Beloit College, industrial redevelopment",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;industrial_traffic;aging_infrastructure,Border city with Illinois creating regional market. Industrial base transitioning. Beloit College provides institutional market. Rock River location with some drainage considerations.,Location
loc-watertown-wi,Watertown,Jefferson County & Dodge County,WI,53094,USA,43.1947,-88.729,23000,humid_continental,"Manufacturing, agriculture equipment, retail",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;industrial_traffic;river_geography,"Manufacturing city split between two counties. Rock River location. Mix of industrial, commercial, and residential paving needs. Regional retail center.",Location
loc-beaver-dam-wi,Beaver Dam,Dodge County,WI,53916,USA,43.4578,-88.8373,16500,humid_continental,"Manufacturing, agriculture, retail, county seat",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;industrial_loads,"Dodge County seat with manufacturing base. Regional retail center. Beaver Dam Lake location. Mix of industrial, municipal, and commercial opportunities.",Location
loc-whitewater-wi,Whitewater,Walworth County & Jefferson County,WI,53190,USA,42.8336,-88.7323,14900,humid_continental,"University (UW-Whitewater), student housing, retail",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;university_traffic;student_housing,University town with significant student population. Campus parking and student housing development. Seasonal traffic patterns based on academic calendar.,Location
loc-fort-atkinson-wi,Fort Atkinson,Jefferson County,WI,53538,USA,42.9286,-88.837,12500,humid_continental,"Manufacturing, agriculture, retail",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;industrial_traffic,Manufacturing community along Rock River. Mix of industrial and residential development. Regional shopping destination.,Location
loc-monroe-wi,Monroe,Green County,WI,53566,USA,42.6011,-89.6387,10800,humid_continental,"Cheese production, agriculture, county seat",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;agricultural_traffic;cheese_industry_loads,Swiss Cheese Capital of the USA with significant cheese processing industry. Green County seat. Mix of industrial cheese plant traffic and agricultural loads.,Location
loc-edgerton-wi,Edgerton,Rock County & Dane County,WI,53534,USA,42.8347,-89.0676,5600,humid_continental,"Agriculture, manufacturing, tobacco heritage",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;agricultural_traffic,Historic tobacco market town transitioning to modern agriculture. Manufacturing presence. Small town character with agricultural traffic patterns.,Location
loc-lake-mills-wi,Lake Mills,Jefferson County,WI,53551,USA,43.0794,-88.9098,6000,humid_continental,"Small manufacturing, tourism (Rock Lake), residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;lake_tourism,Rock Lake location creates tourism element. Small manufacturing base. Mix of residential and small commercial work. Lakefront properties.,Location
loc-milton-wi,Milton,Rock County,WI,53563,USA,42.7747,-88.9426,5600,humid_continental,"Residential, small manufacturing, agriculture",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;residential_maintenance,Small town between Janesville and Madison markets. Primarily residential with some agricultural traffic. Limited commercial development.,Location
loc-evansville-wi,Evansville,Rock County,WI,53536,USA,42.7797,-89.2993,5300,humid_continental,"Small manufacturing, agriculture, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;small_town_market,Small community between Madison and Janesville. Limited commercial activity. Primarily residential and municipal maintenance.,Location
loc-brodhead-wi,Brodhead,Green County & Rock County,WI,53520,USA,42.6178,-89.3751,3400,humid_continental,"Agriculture, small manufacturing, cheese",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;rural_location,Small agricultural community in cheese country. Limited paving market. Primarily village maintenance and residential work.,Location
loc-clinton-wi,Clinton,Rock County,WI,53525,USA,42.5572,-88.8651,2200,humid_continental,"Small town, residential, agriculture",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;very_small_market,Small community near Beloit. Very limited commercial activity. Small-scale residential and village maintenance only.,Location
loc-baraboo-wi,Baraboo,Sauk County,WI,53913,USA,43.4711,-89.7443,12000,humid_continental,"Tourism (Circus World, Devil's Lake), county seat, manufacturing",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;tourist_traffic;seasonal_demand,"Sauk County seat with strong tourism sector. Devil's Lake State Park and Circus World Museum drive seasonal traffic. Mix of tourist, municipal, and residential markets.",Location
loc-wisconsin-dells-wi,Wisconsin Dells,Columbia County & Sauk County,WI,53965,USA,43.6275,-89.7709,2900,humid_continental,"Tourism (waterparks, attractions), hospitality, retail",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;extreme_tourist_traffic;seasonal_patterns;parking_lot_heavy_use,Major tourist destination with extreme seasonal traffic variation. Massive parking lots for waterparks and attractions. Heavy summer use requires durable designs. Resort and hotel development constant.,Location
loc-lake-delton-wi,Lake Delton,Sauk County,WI,53940,USA,43.5875,-89.7929,3000,humid_continental,"Tourism (adjacent to Wisconsin Dells), hospitality",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;tourist_traffic;seasonal_use,Adjacent to Wisconsin Dells sharing tourism market. Waterpark and resort development. Parking lots and resort access roads primary market. Extreme seasonal variation.,Location
loc-portage-wi,Portage,Columbia County,WI,53901,USA,43.5391,-89.4626,10500,humid_continental,"County seat, manufacturing, river port, agriculture",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;river_flooding_risk;industrial_traffic,"Columbia County seat at historic portage between Wisconsin and Fox Rivers. Flooding considerations for some areas. Mix of municipal, industrial, and commercial work.",Location
loc-reedsburg-wi,Reedsburg,Sauk County,WI,53959,USA,43.5325,-90.0023,9200,humid_continental,"Manufacturing, agriculture, tourism support",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;industrial_loads,Manufacturing community in Sauk County. Benefits from proximity to Wisconsin Dells tourism. Industrial and residential paving mix.,Location
loc-columbus-wi,Columbus,Columbia County & Dodge County,WI,53925,USA,43.3372,-89.0151,5000,humid_continental,"Small manufacturing, agriculture, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;small_market,Small community split between two counties. Limited commercial development. Primarily residential and small municipal work.,Location
loc-jefferson-wi,Jefferson,Jefferson County,WI,53549,USA,43.0058,-88.8073,7900,humid_continental,"County seat, manufacturing, agriculture",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;county_government,"Jefferson County seat with courthouse and county facilities. Manufacturing base. Mix of municipal, commercial, and residential opportunities.",Location
loc-richland-center-wi,Richland Center,Richland County,WI,53581,USA,43.3358,-90.3868,5200,humid_continental,"County seat, agriculture, small retail",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;rural_isolation;hilly_terrain,Richland County seat in southwestern Wisconsin hill country. Rural location with extended haul distances. Limited market primarily county and municipal.,Location
loc-dodgeville-wi,Dodgeville,Iowa County,WI,53533,USA,42.9603,-90.1301,4700,humid_continental,"County seat, Lands' End headquarters, tourism (House on the Rock area)",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;rural_location;tourist_traffic,"Iowa County seat with Lands' End corporate headquarters. Tourism from House on the Rock area. Mix of corporate, county, and tourist-related work.",Location
loc-spring-green-wi,Spring Green,Sauk County,WI,53588,USA,43.1761,-90.0679,1600,humid_continental,"Tourism (Frank Lloyd Wright's Taliesin), arts, small business",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;tourist_traffic;very_small_market,Small tourist town centered on Frank Lloyd Wright heritage. Taliesin and American Players Theatre draw visitors. Very limited paving market.,Location
loc-prairie-du-sac-wi,Prairie du Sac,Sauk County,WI,53578,USA,43.2886,-89.7243,4200,humid_continental,"Small manufacturing, Wisconsin River tourism, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;river_location,Wisconsin River community forming continuous development with Sauk City. Small manufacturing and residential. River recreation brings seasonal traffic.,Location
loc-sauk-city-wi,Sauk City,Sauk County,WI,53583,USA,43.2708,-89.7223,3400,humid_continental,"Tourism, small business, Wisconsin River recreation",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;tourist_traffic;river_location,Historic Wisconsin River town adjacent to Prairie du Sac. Tourism and recreation focus. Small market with seasonal variation.,Location
loc-cross-plains-wi,Cross Plains,Dane County,WI,53528,USA,43.1114,-89.6565,4200,humid_continental,"Residential, small retail, bedroom community",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;residential_growth,Growing bedroom community west of Madison. Residential development increasing. Benefits from proximity to Madison market.,Location
loc-lodi-wi,Lodi,Columbia County,WI,53555,USA,43.3136,-89.5268,3100,humid_continental,"Small manufacturing, tourism (Susie the Duck), residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;small_market,Small Columbia County community known for 'Susie the Duck' tourism. Limited commercial activity. Small-scale residential and municipal work.,Location
loc-pardeeville-wi,Pardeeville,Columbia County,WI,53954,USA,43.5369,-89.3001,2100,humid_continental,"Small manufacturing, agriculture, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;very_small_market,Small rural community with limited paving opportunities. Primarily village maintenance. Very small market.,Location
loc-poynette-wi,Poynette,Columbia County,WI,53955,USA,43.3908,-89.4026,2500,humid_continental,"Small town, MacKenzie Environmental Education Center, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;small_market,Small community with state education center. Limited commercial development. Small-scale municipal and residential work only.,Location
loc-mazomanie-wi,Mazomanie,Dane County,WI,53560,USA,43.1758,-89.7951,1700,humid_continental,"Small town, arts community, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;very_small_market,Small arts-focused community. Very limited paving market. Primarily small residential and village maintenance.,Location
loc-black-earth-wi,Black Earth,Dane County,WI,53515,USA,43.1344,-89.7487,1400,humid_continental,"Small town, agriculture, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;very_small_market,Very small community west of Madison. Minimal paving market. Small residential and village maintenance only.,Location
loc-cambridge-wi,Cambridge,Dane County & Jefferson County,WI,53523,USA,43.0014,-89.0137,1500,humid_continental,"Small town, agriculture, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;very_small_market,Small agricultural community. Very limited commercial activity. Minimal paving opportunities.,Location
loc-brooklyn-wi,Brooklyn,Green County,WI,53521,USA,42.8489,-89.3709,1500,humid_continental,"Small town, agriculture, residential",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;very_small_market,Very small rural community. Minimal paving market. Limited to small village maintenance work.,Location
loc-waterloo-wi,Waterloo,Jefferson County,WI,53594,USA,43.1839,-88.989,3400,humid_continental,"Small town, residential, agriculture",freeze_thaw;snow_removal;short_paving_season;thermal_cracking;small_market,Small town between Madison and Milwaukee markets. Limited commercial development. Small-scale residential and municipal work.,Location
loc-fayetteville-ar,Fayetteville,Washington County,AR,72701,USA,36.0626,-94.1574,95000,humid_subtropical,"University of Arkansas, technology, retail, healthcare, regional center",freeze_thaw;temperature_fluctuation;seasonal_moisture;university_traffic;hillside_drainage;commercial_growth,Northwest Arkansas regional hub with University of Arkansas driving economy. Ozark terrain creates drainage challenges. Mild winters still see freeze-thaw cycles requiring PG 64-22 minimum. Growing tech sector fuels commercial development.,Location
loc-springdale-ar,Springdale,Washington County,AR,72762,USA,36.1867,-94.1288,85000,humid_subtropical,"Poultry processing (Tyson Foods HQ), manufacturing, distribution",freeze_thaw;temperature_fluctuation;seasonal_moisture;industrial_traffic;heavy_truck_loads;rapid_growth,Home to Tyson Foods headquarters with significant industrial traffic. Heavy truck traffic to processing plants requires rutting-resistant designs. Rapid population growth drives residential and commercial paving demand.,Location
loc-rogers-ar,Rogers,Benton County,AR,72756,USA,36.332,-94.1185,70000,humid_subtropical,"Retail, corporate offices, residential growth, distribution centers",freeze_thaw;temperature_fluctuation;seasonal_moisture;commercial_traffic;retail_development;hillside_construction,Fast-growing Northwest Arkansas city with major retail and corporate presence. Walmart Stores Inc. proximity drives commercial activity. Ozark topography requires careful grading and drainage in pavement design.,Location
loc-bentonville-ar,Bentonville,Benton County,AR,72712,USA,36.3729,-94.2088,55000,humid_subtropical,"Walmart headquarters, corporate offices, retail, museums",freeze_thaw;temperature_fluctuation;seasonal_moisture;corporate_traffic;high_end_commercial;rapid_development,Walmart Inc. global headquarters creates unique high-end commercial market. Crystal Bridges Museum and corporate campus development. Northwest Arkansas's wealthiest city with premium paving expectations and higher-spec projects.,Location
loc-springfield-mo,Springfield,Greene County,MO,65801,USA,37.209,-93.2923,170000,humid_subtropical,"Healthcare, education (Missouri State University), manufacturing, retail, regional center",freeze_thaw;temperature_fluctuation;seasonal_moisture;heavy_rainfall;karst_geology;commercial_traffic,Southwest Missouri's largest city and regional hub. Karst limestone geology creates sinkhole risks requiring geotechnical investigation. More moderate winters than northern states but still experiences freeze-thaw. Heavy spring rainfall demands excellent drainage systems.,Location
loc-republic-mo,Republic,Greene County,MO,65738,USA,37.1195,-93.4758,18000,humid_subtropical,"Suburban residential, retail, schools",freeze_thaw;temperature_fluctuation;seasonal_moisture;heavy_rainfall;residential_development;school_traffic,Fast-growing Springfield suburb with strong school system. Residential subdivision and school parking lot projects common. Excellent Springfield access makes material delivery efficient.,Location
loc-neosho-mo,Neosho,Newton County,MO,64850,USA,36.869,-94.368,12000,humid_subtropical,"Manufacturing, agriculture, retail, county seat",freeze_thaw;temperature_fluctuation;seasonal_moisture;heavy_rainfall;rural_access,Newton County seat near Oklahoma and Arkansas borders. Tri-state area creates diverse market opportunities. Spring through fall paving season extends longer than Wisconsin locations. Occasional ice storms require weather monitoring.,Location
loc-willard-mo,Willard,Greene County,MO,65781,USA,37.3042,-93.4288,6000,humid_subtropical,"Suburban residential, small retail, bedroom community",freeze_thaw;temperature_fluctuation;seasonal_moisture;heavy_rainfall;residential_growth,Small Springfield suburb experiencing steady growth. Highway 160 corridor development. Residential driveways and small commercial projects. Close proximity to Springfield asphalt plants reduces haul costs.,Location
loc-strafford-mo,Strafford,Greene County,MO,65757,USA,37.2681,-93.1185,2400,humid_subtropical,"Small town, residential, agriculture",freeze_thaw;temperature_fluctuation;seasonal_moisture;heavy_rainfall;rural_community,Small town northeast of Springfield on Highway 65 corridor. Rural character with some suburban growth. Projects typically smaller residential and municipal maintenance work.,Location
loc-nixa-mo,Nixa,Christian County,MO,65714,USA,37.0434,-93.2974,23000,humid_subtropical,"Suburban residential, retail growth, schools",freeze_thaw;temperature_fluctuation;seasonal_moisture;heavy_rainfall;rapid_residential_growth;retail_development,Rapidly expanding Springfield suburb with major residential development. One of Missouri's fastest-growing cities creates strong paving demand. Shopping center development along Highway 160. Mix of residential subdivisions and commercial retail projects.,Location
loc-joplin-mo,Joplin,Jasper County,MO,64801,USA,37.0842,-94.5133,51000,humid_subtropical,"Healthcare, retail, distribution, regional center, post-tornado rebuilding",freeze_thaw;temperature_fluctuation;seasonal_moisture;heavy_rainfall;tornado_recovery;commercial_development;heavy_truck_traffic,Southwest Missouri regional center rebuilding from 2011 EF5 tornado. Significant reconstruction and new development opportunities. I-44 corridor creates heavy truck traffic. Tri-state location (Missouri/Kansas/Oklahoma) expands market reach. Lead and zinc mining history creates occasional subgrade challenges requiring investigation.,Location
loc-davenport-fl,Davenport,Polk County,FL,33896,USA,28.1614,-81.601,7000,humid_subtropical,"Tourism support (Orlando proximity), residential growth, vacation rentals",hot_weather;seasonal_rain;rapid_aging;rutting;tourism_traffic;no_freeze_thaw,Western Polk County community benefiting from Orlando tourism proximity. Vacation home development and short-term rental market. High heat requires PG 76-22 or higher binders for rutting resistance. Year-round paving season. Heavy summer rains create drainage design priority.,Location
loc-jacksonville-fl,Jacksonville,Duval County,FL,32099,USA,30.3322,-81.6557,950000,humid_subtropical,"Military (Naval bases), port, healthcare, finance, insurance, regional center",hot_weather;seasonal_rain;coastal_proximity;hurricane_risk;heavy_traffic;port_industrial_loads,Florida's largest city by area. Major port creates heavy industrial traffic. Military installations provide steady government contract opportunities. Coastal location requires hurricane-resistant design considerations. Year-round construction season.,Location
loc-ocala-fl,Ocala,Marion County,FL,34470,USA,29.1872,-82.1401,65000,humid_subtropical,"Horse farming (Thoroughbreds), retirement community, healthcare, retail",hot_weather;seasonal_rain;equestrian_traffic;retirement_development;agricultural_loads,Horse Capital of the World with extensive equestrian facilities. Horse farm driveways and stable access roads specialized market. Growing retirement community. Central location on I-75 corridor. Limestone subgrade common requiring attention to base preparation.,Location
loc-williston-fl,Williston,Levy County,FL,32696,USA,29.3858,-82.4467,2800,humid_subtropical,"Small town, agriculture, rural residential",hot_weather;seasonal_rain;rural_isolation;limited_market,Small rural Levy County community. Limited commercial paving market. Primarily residential driveways and small municipal work. Extended haul from asphalt plants.,Location
loc-morriston-fl,Morriston,Levy County,FL,32668,USA,29.3297,-82.4487,300,humid_subtropical,"Very small rural community, agriculture",hot_weather;seasonal_rain;very_rural;minimal_market,Unincorporated community in rural Levy County. Very limited paving opportunities. Minimal market for commercial work.,Location
