serviceId:ID(Service),name,serviceTypes:string[],description,expertiseSignals:string[],regulatoryStandards:string[],seasonalConsiderations,equipmentRequired,typicalDuration,notes,:LABEL
srv-full-depth-reclamation,Full-Depth Reclamation (FDR),commercial;municipal,"In-place pulverization of existing asphalt and base materials, mixing with stabilizing agents (cement, lime, or emulsion), and placing new asphalt surface. Alternative to complete reconstruction when base has failed.",FDR equipment operation;Stabilization material knowledge;Mix design for reclaimed base,AASHTO standards for FDR;State DOT specifications;Stabilization material requirements,Similar to new construction. Cement or lime stabilization requires proper curing conditions.,"Reclaimer/pulverizer, cement spreader, compaction equipment, paver and rollers",1-3 weeks for typical projects,"Recycles existing materials in place, reducing hauling and disposal. Creates new stable base layer from old pavement and base. Requires new asphalt surface layer on top. Excellent for pavements with base failure where complete reconstruction would otherwise be needed. Environmental benefits from material recycling.",Service
srv-crack-sealing,Professional Crack Sealing,residential;commercial;municipal,"Hot-pour rubberized crack sealant application to prevent water infiltration and extend pavement life. Includes proper crack cleaning, routing (when needed), and application of flexible, durable sealant material.",Hot-pour equipment and materials;Understanding of crack types and treatment methods;Proper surface preparation techniques,Industry best practices for crack sealing;Material specifications for hot-pour sealants,"Pavement temperature 40°F minimum, air temperature 50°F+ preferred. No rain expected for 24 hours. Spring and fall are optimal seasons.","Crack sealing melter/applicator, air compressor with lance, optional router, hand tools",500-1000 linear feet per day typical crew production,Single most cost-effective maintenance activity. Water infiltration through cracks is primary cause of pavement deterioration. Hot-pour sealants (not cold-pour) are standard for quality work. Clean cracks thoroughly before sealing. Route wider cracks for better performance. Annual or biannual treatment prevents structural damage.,Service
srv-crack-filling,Crack Filling,residential;commercial;municipal,Basic crack treatment using cold-pour or hot-pour materials without routing. Less durable than crack sealing but faster and more economical for minor cracks in low-traffic areas.,Basic crack treatment capabilities;Material application techniques,Basic industry practices,"Warm, dry weather required","Application tools, cleaning equipment",Faster than crack sealing,Adequate for minor cracks in low-traffic residential applications. Not as durable as proper crack sealing with routing. Requires more frequent re-treatment.,Service
srv-crack-routing,Crack Routing and Sealing,residential;commercial;municipal,"Advanced crack treatment including routing to create reservoir, followed by hot-pour sealant application. Provides superior long-term performance for wider cracks and high-traffic applications.",Crack routing equipment operation;Understanding of reservoir design;Advanced crack treatment techniques,Industry best practices for crack routing;Router depth and width specifications,"Same as crack sealing - warm, dry conditions required","Walk-behind router with carbide blades, crack sealing equipment, cleaning equipment",Slower than basic crack filling but provides longer-lasting results,Routing creates a reservoir that holds more sealant and provides better adhesion. Recommended for cracks wider than 1/4 inch or in high-traffic areas. Significantly extends sealant life compared to non-routed applications.,Service
srv-sealcoating-residential,Residential Driveway Sealcoating,residential,"Coal tar or asphalt emulsion sealcoat application for homeowner driveways. Provides UV protection, water resistance, and enhances appearance. Applied every 2-3 years to extend pavement life and maintain aesthetic appeal.",Proper surface preparation techniques;Quality material selection;Even application methods,Local environmental regulations for sealcoat materials;Proper cure time before traffic,"Air temp 50°F+, pavement temp 50°F+, no rain for 24 hours. Best in spring through early fall. Avoid extreme heat (>90°F).","Spray equipment or squeegee application tools, mixing equipment, edge tools",1 day including prep and application (2-3 hours work time for typical driveway),"Asphalt should cure 6-12 months before first sealcoat, then every 2-3 years thereafter. Fill cracks before sealcoating. Two coats preferred. Creates recurring revenue and customer relationships. Major aesthetic improvement that sells easily.",Service
srv-sealcoating-commercial,Commercial Parking Lot Sealcoating,commercial,"Professional-grade sealcoating for commercial parking lots using coal tar or asphalt emulsion. Protects investment, improves appearance, reduces oxidation and water damage. Typically applied every 2-3 years as part of preventative maintenance program.",Large-area application experience;Commercial-grade equipment;Traffic management during application;Material specification knowledge,Environmental regulations for sealcoat products;VOC compliance;Traffic control requirements,"Warm, dry weather required. Need 24-48 hours with no rain. Avoid extreme temperatures.","Commercial spray systems, squeegee equipment, mixing equipment, traffic control equipment","1-3 days for typical parking lot (including prep, application, cure time, restriping)","First application typically 1-2 years after paving, then every 2-3 years. Surface must be clean, dry, and free of oil/grease. Fills surface voids and minor imperfections. Bundle with crack sealing and striping for complete service. Creates recurring revenue contracts.",Service
srv-crack-seal-and-sealcoat-package,Crack Sealing & Sealcoating Package,residential;commercial;municipal,Comprehensive maintenance package combining crack sealing and sealcoating services. Optimal preventative maintenance approach that addresses water infiltration (crack sealing) and surface protection (sealcoating) in coordinated application.,Understanding of proper sequencing;Both crack sealing and sealcoating capabilities;Comprehensive maintenance program knowledge,Best practices for both services;Proper cure time between services,"Crack seal first, wait 30 days, then sealcoat. Both require warm, dry conditions.",Both crack sealing and sealcoating equipment,Two-phase process over 30+ days,"Gold standard for preventative maintenance. Crack seal first to stop water infiltration, wait for cure, then sealcoat for surface protection. Package provides value to customer and efficiency from combined mobilization. Annual crack sealing with sealcoating every 2-3 years is ideal schedule.",Service
srv-fog-seal,Fog Seal Application,municipal,"Diluted asphalt emulsion sprayed on aged pavement surfaces to seal minor cracks, reduce oxidation, and slow raveling. Maintenance option for lightly distressed pavements not yet needing more extensive treatment.",Distributor truck operation;Understanding of application rates;Timing and traffic control,ASTM standards for fog seal materials;Agency specifications,"Warm, dry weather required. Surface must be dry.",Distributor truck or spray equipment,Very fast application (hours for large areas),Thin application of diluted emulsion (CSS-1 or similar diluted 1:1 to 3:1 with water). Expected life 2-3 years. Best for aged but structurally sound pavements showing early oxidation. Not suitable for heavily cracked or distressed pavements. Common on municipal roads with tight maintenance budgets.,Service
srv-chip-seal,Chip Seal (Seal Coat),residential;commercial;municipal,"Surface treatment combining asphalt binder application with aggregate chip spreading and compaction. Creates durable, textured, weather-resistant surface. Excellent for parking lots, driveways, and low-volume roads. Expected service life 5-7 years.",Distributor truck operation;Aggregate spreading equipment;Pneumatic roller operation;Timing and coordination skills,"Aggregate specifications (size, quality, gradation);Binder application rates;ASTM material standards",Requires warm weather (air temp 70°F+). No rain for 24 hours minimum.,"Asphalt distributor truck, aggregate spreader, pneumatic tire roller, rotary broom",1-3 days including application and cure,"Application sequence critical - spray binder, immediately spread aggregate chips, compact with pneumatic roller, sweep loose stones. Creates textured surface (not smooth like sealcoat). Excellent skid resistance. Single chip seal lasts 5-7 years, double chip seal 7-10 years. Good for driveways, parking lots, residential streets. Some customers prefer textured appearance, others don't.",Service
srv-cape-seal,Cape Seal Application,commercial;municipal,Combined treatment of chip seal followed by slurry seal or microsurfacing application. The slurry coat seals voids and locks in aggregate for superior performance. High-quality surface treatment with 10-12+ year expected life.,Chip seal expertise;Slurry seal or microsurfacing capability;Multi-phase application coordination,Specifications for both chip seal and slurry/microsurfacing;ASTM material standards,Requires warm weather for both applications. Timing between applications is critical.,Chip seal equipment plus slurry seal or microsurfacing equipment,3-5 days including both applications and cure times,Superior performance compared to chip seal alone. The slurry/microsurfacing layer fills voids left in chip seal and locks aggregate in place. Significantly longer service life. Excellent for high-value commercial properties and municipal roads.,Service
srv-slurry-seal,Slurry Seal Application,residential;commercial;municipal,"Cold-applied mixture of asphalt emulsion, fine aggregate, mineral filler, and water creating smooth, uniform surface treatment. Fills minor cracks and surface imperfections, prevents water infiltration, extends pavement life 5-7 years.",Slurry seal machine operation;Mix design knowledge;Application uniformity,"ASTM standards for slurry seal materials;Mix design specifications (Type I, II, or III)",Warm weather required (air temp 50°F+). Surface must be dry. Humidity affects cure time.,"Continuous mixer/applicator truck, squeegee spreading device, traffic control equipment",1-2 days including application and cure,"Self-contained mobile mixer produces consistent quality. Smooth finish (unlike chip seal texture). Three types - Type I (fine, light traffic), Type II (medium, most common), Type III (coarse, heavy distress). Thickness 1/8-3/8 inch. Polymer modification improves performance. Cure time 1-4 hours initial, 24-48 hours full cure. Excellent for residential streets and parking lots showing early aging.",Service
srv-microsurfacing,Microsurfacing,commercial;municipal,"Advanced polymer-modified surface treatment with quick-setting properties. Can correct minor rutting and surface deformations while providing durable wearing surface. Higher performance than slurry seal, suitable for high-traffic applications. Expected life 7-10 years.",Specialized equipment operation;Advanced mix design knowledge;Quality control procedures;Multiple-layer application techniques,ASTM standards for microsurfacing;Agency specifications;Polymer modification requirements,Warm weather required. Quick-setting allows shorter road closures than slurry seal.,"Specialized microsurfacing machine, quality control testing equipment",1-3 days depending on area and number of layers,"Always polymer-modified for improved performance. Quick-set formulation (30-60 minutes vs hours for slurry seal). Can fill ruts up to 1.5 inches with multiple applications. Thickness 1/4-1/2 inch per layer. Superior to slurry seal for high-traffic areas. Common on highways, arterials, and high-traffic commercial parking. Requires significant equipment investment and training.",Service
srv-porous-asphalt,Porous Asphalt Installation,commercial;specialty,"Permeable pavement system allowing water to drain through surface into engineered stone reservoir below. Reduces stormwater runoff, eliminates need for detention ponds in many applications. Requires specialized mix design and installation procedures.",Porous asphalt training and certification;Understanding of drainage requirements;Specialized construction techniques;Vacuum sweeping maintenance knowledge,NAPA porous asphalt design guidelines;Local stormwater management requirements;ASTM specifications for pervious pavements,Similar to conventional paving but requires special attention to base drainage,"Modified paver for porous mix, specialized compaction procedures, vacuum sweeper for maintenance",Similar to conventional paving plus additional base preparation time,"Open-graded mix with high air void content (15-20%). Allows water infiltration at rates of 100+ inches per hour. Requires stone reservoir base (12-36 inches typical), underlying soil must drain adequately or underdrain needed. Vacuum sweeping maintenance required 2-4 times per year to prevent clogging. Not suitable for areas with high sediment loads, cold climates with freeze-thaw issues, or heavy truck traffic.",Service
srv-warm-mix-asphalt,Warm Mix Asphalt Installation,residential;commercial;municipal;specialty,"Asphalt production and placement at reduced temperatures (225-275°F vs 300-350°F for conventional HMA) using special additives or processes. Extends paving season, reduces emissions, allows longer haul distances while maintaining quality.",Knowledge of warm mix technologies;Experience with temperature-reduced placement;Understanding of compaction requirements,AASHTO standards for warm mix asphalt;ASTM specifications;Agency approval for warm mix use,Allows paving in cooler weather than conventional HMA. Can extend season by several weeks in spring and fall.,Standard paving equipment. Mix plant must have warm mix additive capability.,Similar to conventional paving,"Several technologies available - chemical additives, foaming processes, organic additives. Reduces energy consumption, lowers emissions, improves worker safety (lower temperatures). Allows placement at lower ambient temperatures. Can incorporate higher RAP percentages. Growing acceptance and use across industry. Particularly valuable in northern climates for extending season.",Service
srv-high-rap-mixes,High-RAP Content Mixes,residential;commercial;municipal;specialty,Asphalt mixes containing 25-40% or more reclaimed asphalt pavement (RAP). Sustainable option that reduces virgin material use and provides excellent performance when properly designed. Requires careful mix design and often rejuvenators or softer binders.,Mix design expertise;RAP quality control knowledge;Understanding of binder blending,AASHTO specifications for RAP use;Agency limitations on RAP percentage;Quality control requirements,Standard paving season considerations apply,Standard paving equipment. Plant must have RAP handling and proportioning capability.,Similar to conventional mixes,"RAP is most recycled material in America. Properly designed high-RAP mixes perform as well as virgin mixes. May require rejuvenators or softer binders to compensate for stiff aged binder in RAP. Warm mix technology often used with high-RAP to improve workability. Environmental and economic benefits. Some agencies limit RAP percentage (20-30% common limits), others allow higher percentages with proper mix design.",Service
srv-colored-asphalt,Colored Asphalt Installation,commercial;municipal;specialty,"Decorative asphalt using colored binders and aggregates to create surfaces in red, green, terra cotta, and other colors. Used for aesthetic appeal, wayfinding, bike lanes, crosswalks, and decorative applications.",Experience with specialty mixes;Understanding of color stability;Aesthetic design knowledge,Standard pavement specifications plus color requirements;Colorfastness specifications,"Standard paving season, protect from traffic until fully cured","Standard paving equipment, clean equipment to avoid color contamination",Similar to conventional paving,"Uses synthetic binders or clear binders with colored aggregates instead of black asphalt. Colors fade over time but can be restored with surface treatments. Common applications include bike lanes, crosswalks, plazas, theme parks, and high-end residential or commercial properties. Requires clean equipment to avoid contaminating color.",Service
srv-rubberized-asphalt,Rubberized Asphalt (Crumb Rubber Modified),residential;commercial;municipal;specialty,"Asphalt incorporating ground tire rubber into the binder. Provides enhanced flexibility, crack resistance, and noise reduction. Environmental benefit from tire recycling. Popular in warm climates and areas requiring noise mitigation.",CRM mix design knowledge;Experience with rubber-modified materials;Understanding of application requirements,State specifications for crumb rubber modified asphalt;ASTM standards;Environmental regulations,"Requires warm weather, rubber modification can affect workability",Standard paving equipment. Plant must have rubber modification capability.,Similar to conventional paving,"Uses ground tire rubber (typically 10-20% by weight of binder). Excellent crack resistance and fatigue life. Reduces traffic noise (by 3-5 decibels). More flexible than conventional asphalt. Widely used in California, Arizona, and other states with crumb rubber programs. Environmental benefit from recycling waste tires. Not ideal for cold climates or heavy truck traffic.",Service
srv-grading-excavation,Grading and Excavation,residential;commercial;municipal,"Site preparation including earthwork, excavation to design grade, cut and fill operations, and establishment of proper drainage slopes. Creates stable foundation for pavement installation.",Heavy equipment operation expertise;Understanding of drainage principles;Grade control and surveying;Soil identification skills,Local grading permits;Erosion control requirements;OSHA excavation safety standards,Can be performed year-round in most climates. Wet weather complicates earthwork. Frozen ground prevents winter work in northern climates.,"Excavators, bulldozers, motor graders, dump trucks, compaction equipment","1-5 days for typical projects, weeks for large sites",Proper grading is foundation of good pavement. Minimum 2% slope required for drainage. Remove organic topsoil before paving. Establish design elevations carefully - errors are expensive to fix. Proof roll subgrade to identify soft spots requiring remediation.,Service
srv-land-clearing,Land Clearing and Site Preparation,residential;commercial;municipal,"Removal of vegetation, trees, stumps, and debris from construction site. Includes clearing, grubbing, and preparation of site for grading and paving operations.",Tree removal experience;Stump grinding capability;Debris disposal knowledge,Environmental protection requirements;Tree removal permits where applicable;Disposal regulations,Can be done year-round. Easier when ground is dry. Some jurisdictions restrict clearing during nesting season.,"Bulldozers, excavators, stump grinders, chippers, hauling equipment",1-5 days depending on density of vegetation,"Critical first step for new construction. Must remove all organic material (topsoil, roots, vegetation) from areas to be paved. Buried organic material decomposes and causes settlement. Stumps must be completely removed. Proper disposal of clearing debris required.",Service
srv-base-installation,Aggregate Base Installation,residential;commercial;municipal,"Installation of crushed stone or gravel base course to provide stable foundation for asphalt pavement. Includes material placement, spreading, grading, moisture conditioning, and compaction to specified density.",Understanding of base specifications;Compaction expertise;Density testing capability;Proper lift thickness knowledge,AASHTO or ASTM base course specifications;Local standards for gradation and quality;Density requirements (typically 95-98% Standard Proctor),"Best in warm, dry weather. Moisture content critical for compaction. Winter work challenging in freezing climates.","Dump trucks, motor grader or dozer, vibratory roller or compactor, water truck",1-3 days for typical projects,"Base is the foundation - critical for pavement performance. Typical thickness 4-12 inches depending on application. Place and compact in lifts no thicker than 8 inches. Test density frequently. Adequate base prevents premature pavement failure. Consider recycled materials (RAP, crushed concrete) where approved. Ensure proper drainage and moisture content for compaction.",Service
srv-subgrade-stabilization,Subgrade Stabilization,residential;commercial;municipal,"Treatment of weak or problematic subgrade soils using lime, cement, or other stabilizing agents. Improves soil strength and reduces required pavement thickness. Alternative to complete subgrade removal and replacement.",Soil testing and analysis;Stabilization material knowledge;Mixing and placement expertise;Understanding of chemical reactions,AASHTO standards for soil stabilization;Material specifications for stabilizers;Quality control requirements,Requires warm weather for proper curing. Moisture control critical. Avoid freezing conditions.,"Pulverizer/mixer, cement or lime spreader, compaction equipment, water truck","2-5 days including mixing, placement, and curing","Used when subgrade CBR is too low (typically CBR < 5%). Lime stabilization for high-plasticity clays, cement for broader soil types. Typical application 2-8% by weight mixed 6-12 inches deep. Creates semi-rigid layer. Requires proper moisture and curing.",Service
srv-drainage-installation,Drainage System Installation,residential;commercial;municipal,"Installation of catch basins, storm pipes, underdrains, and swales to manage stormwater and prevent water damage to pavement. Critical for long-term pavement performance.",Drainage design understanding;Excavation and utility installation;Pipe bedding and backfill knowledge;Grading for surface drainage,Local stormwater management regulations;Utility installation standards;Backfill and compaction specifications,Can be done year-round but easier in dry conditions. Coordinate with paving schedule.,"Excavators, bedding material, pipe, catch basins, backfill compaction equipment",1-5 days depending on complexity,Water is pavement's worst enemy. Proper drainage doubles pavement life. Surface drainage (slopes and swales) is first priority. Subsurface drainage (underdrains) needed for poor-draining soils or high water tables. Don't pave without adequate drainage. Coordinate catch basin grades with final pavement elevations.,Service
srv-demolition-removal,Asphalt and Concrete Demolition,residential;commercial;municipal,"Removal of existing asphalt or concrete pavement, including full-depth removal, milling, sawcutting, and hauling of debris. Preparation for new pavement installation.",Demolition equipment operation;Proper disposal knowledge;Sawcutting expertise for partial removal,Disposal regulations;Dust control requirements;Safety regulations for demolition,Can be performed year-round. Dust control required in dry conditions.,"Pavement breakers, excavators, skid steers, sawcutters, dump trucks","1-3 days for typical driveways/small lots, longer for large areas",Full removal necessary when existing pavement and base have failed. Partial removal (milling) adequate when only surface is distressed. Recycle removed asphalt (RAP) when possible. Concrete removal more difficult than asphalt. Coordinate with local disposal facilities.,Service
srv-parking-lot-striping,Parking Lot Striping and Marking,commercial,"Application of parking stall markings, traffic arrows, fire lanes, handicap spaces, and crosswalks on commercial parking lots. Ensures ADA compliance, improves traffic flow, and enhances property appearance.","Layout design capability;ADA compliance knowledge;Striping equipment expertise;Material selection (paint, thermoplastic, tape)",ADA accessibility requirements;Local fire lane regulations;MUTCD standards for markings,"New asphalt must cure 30+ days before striping. Warm, dry weather required. Avoid rain within 2-4 hours of application.","Striping machine, layout tools, stencils, quality marking materials",1-2 days for typical parking lot,"Typical stall dimensions 9x18 feet, wider for accessible spaces. Accessible parking requires specific dimensions, access aisles, and signage. Fire lanes typically 24 feet wide with red curbs and markings. Bundle with sealcoating for complete service. Use durable materials (thermoplastic or high-quality paint) for longer life. Poor striping makes good pavement look bad.",Service
srv-roadway-striping,Roadway Striping and Marking,municipal,"Application of centerlines, edge lines, lane lines, crosswalks, stop bars, and legends on roadways. Must meet MUTCD standards and reflectivity requirements for nighttime visibility and safety.",MUTCD standards knowledge;Reflectivity requirements understanding;Traffic control during marking;High-speed application equipment,MUTCD (Manual on Uniform Traffic Control Devices);FHWA reflectivity standards;State DOT specifications,"Warm, dry weather required. New asphalt cure time needed.","Truck-mounted striping equipment, glass bead applicators, traffic control equipment",Varies by project size,"Yellow for centerlines and no-passing zones, white for lane lines and edges. Standard width 4 inches, 6 inches for emphasis areas. Reflective glass beads required for nighttime visibility. Must meet minimum retroreflectivity levels (FHWA standards). Higher traffic requires more durable materials (thermoplastic or high-performance paint). Traffic control critical for safety.",Service
srv-thermoplastic-marking,Thermoplastic Pavement Marking,commercial,Application of hot-applied thermoplastic marking material providing superior durability and reflectivity. Lasts 3-5+ years compared to 1-2 years for paint. Excellent for high-traffic areas and long-term marking solutions.,Thermoplastic application equipment;Material heating and application expertise;Safety knowledge for hot materials,ASTM standards for thermoplastic markings;Agency specifications;Reflectivity requirements,"Requires warm, dry pavement. More weather-sensitive than paint during application.","Thermoplastic melter/applicator, propane heating system, layout tools",Similar to paint but requires more setup and heating time,"Hot-applied plastic that bonds to pavement and hardens when cooled. Extremely durable - lasts 3-5+ years in normal traffic, longer in light traffic. Excellent reflectivity with embedded glass beads. Lower lifecycle consideration due to longevity. Ideal for crosswalks, stop bars, handicap symbols, and other high-wear applications. Raised profile (1/8 inch) provides texture and wet weather visibility.",Service
srv-ada-compliance-marking,ADA Compliance Striping and Signage,commercial,"Installation of accessible parking spaces, access aisles, ramps, and associated signage meeting Americans with Disabilities Act requirements. Critical for commercial properties to avoid fines and ensure accessibility.",Detailed ADA requirements knowledge;Proper dimensions and slopes;Signage requirements,Americans with Disabilities Act (ADA);State accessibility codes;Local building codes,Standard striping season considerations,"Striping equipment, grade checking tools, proper signage",Part of overall parking lot striping project,Accessible parking spaces require 8-foot minimum width with 5-foot access aisle (or 11-foot van-accessible with 5-foot aisle). Slopes cannot exceed 2% in any direction. Must be on shortest accessible route to entrance. International Symbol of Accessibility required on pavement and elevated signage. Number of required spaces based on total parking count. Non-compliance creates liability exposure for property owners. Review and verify compliance.,Service
srv-annual-maintenance-residential,Residential Driveway Maintenance Program,residential,"Comprehensive annual maintenance program including inspection, crack sealing, minor patching, cleaning, and periodic sealcoating. Extends driveway life to 20+ years with proper care.",Long-term customer relationship management;Comprehensive maintenance knowledge;Scheduling and reminder systems,Industry best practices,"Annual inspection in spring, crack sealing as needed, sealcoating every 2-3 years",Full range of maintenance equipment,Ongoing annual relationship,Annual inspection identifies problems early when they're easy to address. Crack sealing prevents water infiltration. Sealcoating every 2-3 years protects surface. Clean oil spills promptly. Minor patching as needed. Creates recurring revenue and customer loyalty. Homeowners appreciate proactive maintenance reminders.,Service
